Brand,Price,Transmisson,Make Year,Mileage,Engine,Fuel,Kilometer Run
Mahindra,1350000.0,Auto-4WD,2014.0,,,Diesel,
Maruti Suzuki,2275000.0,Manual-2WD,2021.0,,1000.0,Petrol,15000.0
Hyundai,1325000.0,Auto-2WD,2009.0,,1200.0,Petrol,70000.0
Maruti Suzuki,2149999.0,Manual-2WD,2015.0,16.0,1200.0,Petrol,41100.0
Mahindra,1450000.0,Manual-2WD,2017.0,,2500.0,Petrol,53000.0
Maruti Suzuki,1100000.0,Power-Steering,2011.0,17.0,1000.0,Petrol,58000.0
Honda,1100000.0,Manual-2WD,2007.0,,1500.0,Petrol,75000.0
Nissan,11500000.0,Auto-4WD,2014.0,,3000.0,Diesel,
Hyundai,2500000.0,Manual-2WD,2016.0,15.0,1200.0,Petrol,81000.0
Daihatsu,4300000.0,Manual-4WD,2014.0,,1500.0,Petrol,59000.0
Hyundai,1150000.0,Manual-2WD,2007.0,13.0,1096.0,Petrol,57000.0
Maruti Suzuki,515000.0,Auto-2WD,2007.0,19.0,796.0,Petrol,
Maruti Suzuki,365000.0,Auto-2WD,2002.0,18.0,796.0,Petrol,56000.0
Maruti Suzuki,350000.0,Auto-2WD,2010.0,10.0,800.0,Petrol,80000.0
Other Brands,2500000.0,Manual-2WD,2010.0,,,Petrol,
Maruti Suzuki,1385000.0,Manual-2WD,2009.0,14.0,1300.0,Petrol,76500.0
Tata,950000.0,Manual-2WD,2020.0,,700.0,Diesel,28250.0
Other Brands,5100000.0,Auto-2WD,2021.0,,,Electric,
Maruti Suzuki,1700000.0,Manual-4WD,1998.0,18.0,1200.0,Petrol,98000.0
Hyundai,2225000.0,Manual-2WD,2021.0,,1086.0,Petrol,15000.0
Hyundai,1800000.0,Auto-2WD,2010.0,,1400.0,Petrol,76342.0
Hyundai,2225000.0,Manual-2WD,2021.0,,1100.0,Petrol,15000.0
Hyundai,1600000.0,Manual-2WD,2014.0,14.0,1186.0,Petrol,35000.0
Eicher,650000.0,Auto-4WD,2015.0,,,Diesel,
Nissan,1250000.0,Manual-2WD,2006.0,13.0,1596.0,Petrol,69000.0
Maruti Suzuki,2260000.0,Manual-2WD,2016.0,,1200.0,Petrol,42000.0
Mahindra,950000.0,Manual-4WD,2011.0,12.0,2523.0,Diesel,77000.0
Maruti Suzuki,2100000.0,Manual-2WD,2015.0,14.0,1197.0,Petrol,47000.0
Hyundai,1575000.0,Manual-2WD,2010.0,13.0,1197.0,Petrol,58000.0
Daihatsu,575000.0,Manual-2WD,1997.0,12.0,850.0,Petrol,98521.0
Mahindra,1050000.0,Manual-2WD,2014.0,10.0,2900.0,Diesel,790000.0
Ford,3550000.0,Manual-2WD,2018.0,,1500.0,Petrol,
